Вопрос,Правильный,Неверный1,Неверный2,Неверный3,Картинка
Как называется российский модуль, пристыкованный к МКС в 2021 году ("Наука")?,Многофункциональный лабораторный модуль "Наука","Причал","Рассвет","Звезда",nauka_2021.jpg
Какой космический корабль "Прогресс" имеет грузоподъемность ~2.5 тонны?,Прогресс МС,Прогресс М,Прогресс М1,Прогресс М2,progress_ms_cargo.jpg
Кто был первым космонавтом, дважды Героем Советского Союза (первый среди дважды)?,Владимир Комаров (посмертно),Юрий Гагарин,Алексей Леонов,Герман Титов,komarov_twice.jpg
Какой российский центр подготовки космонавтов носит имя Гагарина?,ЦПК им. Ю.А. Гагарина,ЦНИИмаш,РКК Энергия,ИМБП РАН,gagarin_ctc.jpg
Какой космодром находится в Амурской области (Россия)?,Восточный,Плесецк,Байконур,Капустин Яр,vostochny_cosmodrome.jpg
Какой спутник был запущен первым в мире с завода "Арсенал"?,Космос-1,Спутник-1,Спутник-2,Протон-1,cosmos1_arsenal.jpg
Какие США астронавты работали с советской станцией "Мир" (программа "Мир-Шаттл")?,Норман Тагард, Шеннон Лучид и др.,Джон Гленн,Нил Армстронг,Салли Райд,tagard_mir.jpg
Какой космический аппарат первым провел гравитационный маневр у Юпитера?,Пионер-10,Вояджер-1,Вояджер-2,Пионер-11,pioneer10_gravity.jpg
Как называется спутник "Луна-25", разбившийся в 2023 году?,Российский посадочный модуль,Индийский зонд,Китайский луноход,Американский орбитер,luna25_crash.jpg
Какой американский корабль "Орион" совершил беспилотный облет Луны (Artemis I)?,Орион,Аполлон,Артемида,Одиссей,orion_artemis1.jpg
Какой российский космонавт беспилотно управлял кораблем "Союз МС-18"?,Олег Новицкий,Сергей Рыжиков,Антон Шкаплеров,Пётр Дубров,novitsky_remote.jpg
Завершающий вопрос: Как звали первого астронавта, который вышел в отрытый космос без привязи (MMU)?,Брюс Маккэндлесс,Роберт Гибсон,Джозеф Аллен,Дейл Гарднер,mccandless_free_floating.jpg
